alpha,lambda,cvm,cvsd,thresh
0.5,9.98875566652671e-05,0.577125039109619,0.344949854025626,1e-04
0.5,8.27711019287863e-05,0.580392570541771,0.347482684186168,1e-04
0.5,6.85876754145072e-05,0.584301717654043,0.350795127650101,1e-04
0.5,5.68346815391343e-05,0.588368773210048,0.353806189023095,1e-04
0.5,4.70956481049012e-05,0.591482179048672,0.355975196134754,1e-04
0.5,3.90254684350338e-05,0.594533343347406,0.358047399200899,1e-04
0.5,3.23381723759594e-05,0.596486481729428,0.359118309855164,1e-04
0.75,0.215587815839729,0.788128738249609,0.11966331067313,1e-04
0.75,0.178645285511118,0.742015898981869,0.124187005795222,1e-04
0.75,0.148033124743349,0.681686725188429,0.127207618740596,1e-04
0.75,0.122666578961672,0.636589767273127,0.132729065590153,1e-04
0.75,0.101646774127398,0.602453867440372,0.138980637077791,1e-04
0.75,0.0842288647646612,0.57651318565215,0.145237394635697,1e-04
0.75,0.0697956400529911,0.55658482810973,0.151278037312405,1e-04
0.75,0.057835652706678,0.542523047931209,0.157123918318824,1e-04
0.75,0.0479250956287222,0.533912711343062,0.162837246562854,1e-04
0.75,0.0397127841311103,0.527295185207142,0.167422700453935,1e-04
0.75,0.0329077115601827,0.518762046313012,0.171109910799686,1e-04
0.75,0.027268737355532,0.504305735966078,0.175866351224071,1e-04
0.75,0.0225960421345341,0.49497481645261,0.184097568224574,1e-04
0.75,0.0187240470099016,0.493847239371948,0.196581114895602,1e-04
0.75,0.0155155462333464,0.49464743458667,0.208699799758349,1e-04
0.75,0.0128568452531552,0.492197535410689,0.217292533765293,1e-04
0.75,0.0106537319007381,0.486395102524494,0.22291888230727,1e-04
0.75,0.00882813794347803,0.481384615999155,0.2267590378799,1e-04
0.75,0.00731537270462728,0.477083538596141,0.229887174721246,1e-04
0.75,0.00606183072242783,0.472449339764386,0.232929734483081,1e-04
0.75,0.00502309221840831,0.466611990945354,0.23515004094954,1e-04
0.75,0.00416234906416665,0.462992489704704,0.238415378126754,1e-04
0.75,0.00344910047012015,0.462779297869392,0.242757902688471,1e-04
0.75,0.00285807217741476,0.465423347365964,0.2475796656172,1e-04
0.75,0.00236832085411179,0.471433973111258,0.254144406799741,1e-04
0.75,0.00196249195956077,0.477896072879311,0.261551503329194,1e-04
0.75,0.00162620477907546,0.487063675796675,0.269144510221879,1e-04
